period,start,end,activity,average_weight,average_sector_ptf,average_contribution
2006-2010,2006,2010,Agricultura,0.06204864767117528,-0.3811847913677397,-0.018643579352822272
2006-2010,2006,2010,Minería,0.05712169349129183,-0.8375333971916052,-0.03697725671618128
2006-2010,2006,2010,Manufactura,0.2593509817661569,-0.43075617950239975,-0.1030569395449493
2006-2010,2006,2010,"Electricidad, gas y agua",0.0312740323745865,-0.3163329114781304,-0.010052807518367856
2006-2010,2006,2010,Construcción,0.08505034819953847,-0.1874146716514189,-0.02265064872428891
2006-2010,2006,2010,"Comercio, hoteles y restaurantes",0.12316841739849313,0.547643842595521,0.06908889134907022
2006-2010,2006,2010,Transporte y comunicaciones,0.08966568006083248,-0.8725423491322797,-0.07870934987506802
2006-2010,2006,2010,Finanzas e inmobiliarias,0.1407089810126135,-1.2622838349308219,-0.1728565863604204
2006-2010,2006,2010,Servicios sociales,0.15161121802531202,0.5121750859130965,0.07771633651970146
2011-2015,2011,2015,Agricultura,0.05239941527698322,2.349797827822901,0.12189192692795885
2011-2015,2011,2015,Minería,0.07828385837177705,-2.5354205002687538,-0.19318329633798062
2011-2015,2011,2015,Manufactura,0.23260389663489317,-0.6814605445353925,-0.1568936582716895
2011-2015,2011,2015,"Electricidad, gas y agua",0.03156798757851575,-1.1123217176812155,-0.03536901795453488
2011-2015,2011,2015,Construcción,0.09525008434327956,-0.2670444112756509,-0.022451061885374442
2011-2015,2011,2015,"Comercio, hoteles y restaurantes",0.119086284846828,1.812607433589769,0.21648927599271056
2011-2015,2011,2015,Transporte y comunicaciones,0.08786377171903999,0.874669631399955,0.07578655371624499
2011-2015,2011,2015,Finanzas e inmobiliarias,0.1495298075216508,-0.27605388237194844,-0.0382968515820672
2011-2015,2011,2015,Servicios sociales,0.15341489370703248,0.36084062126330074,0.05393357189899588
2016-2019,2016,2019,Agricultura,0.057050142011156324,1.6497578985120303,0.09419273995423906
2016-2019,2016,2019,Minería,0.0549282104111541,-2.836757111821709,-0.15460550038593104
2016-2019,2016,2019,Manufactura,0.21647532648441725,-0.0995104797333508,-0.02118721076208071
2016-2019,2016,2019,"Electricidad, gas y agua",0.034408959389281485,-0.5373873466729728,-0.018407165545906042
2016-2019,2016,2019,Construcción,0.10053759033176562,-0.8012996459366001,-0.07827391349485867
2016-2019,2016,2019,"Comercio, hoteles y restaurantes",0.12910023009507376,0.5898461450841727,0.07667378752574776
2016-2019,2016,2019,Transporte y comunicaciones,0.08791912299803939,0.4318265850969456,0.037754760522722884
2016-2019,2016,2019,Finanzas e inmobiliarias,0.15365260272036735,-1.1102628146018625,-0.16876346098787273
2016-2019,2016,2019,Servicios sociales,0.1659278155587447,1.156809822618758,0.19246057762627178
2020-2024,2020,2024,Agricultura,0.07054609716269819,1.584589875347064,0.11046259221282724
2020-2024,2020,2024,Minería,0.05361032664667009,-3.0131144410708264,-0.1526835742492345
2020-2024,2020,2024,Manufactura,0.21860404268386535,-0.15542132682186946,-0.031352171491237577
2020-2024,2020,2024,"Electricidad, gas y agua",0.03995818383212697,0.6526704377531007,0.026193263007512763
2020-2024,2020,2024,Construcción,0.07030005891675188,-2.5186153446021935,-0.20175941235619144
2020-2024,2020,2024,"Comercio, hoteles y restaurantes",0.14860790322848264,1.0699094035631453,0.14048605813331236
2020-2024,2020,2024,Transporte y comunicaciones,0.07983835945539461,0.07756688200198444,0.004719082384371157
2020-2024,2020,2024,Finanzas e inmobiliarias,0.14534558830899214,-1.0981917065155853,-0.17313647730233828
2020-2024,2020,2024,Servicios sociales,0.17318943976501822,1.5859687352057417,0.27637703700912947
